Models,Prompts,Runs,Average Q %,C,E,Time(S),SCI_g_per_run,SEI_1_per_g,CER_%_per_g,SCV,SCV_E,SCI NORM,Time(S)_NORM,SVI,ECO,DeepSeek APᵥ₀ C mean,DeepSeek APᵥ₃ C mean,DeepSeek APᵥ₀ Q% Norm,DeepSeek APᵥ₃ Q% Norm,DeepSeek APᵥ₀ E HarmMean,DeepSeek APᵥ₃ E HarmMean,,Model,Metric,Mean ,Std ,Stability_Index,Std Norm,,Model,Stability_Index Mean,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,1,88%,2.47,0.007,209.8657071,0.5446,1.836210062,0.3562753036,0.001697634686,0.5990225248,0.5555555556,0.5607936462,0.313968982,1.003367344,,,,,,,,,,,,,,,133.3333333,350,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,2,88%,2.93,0.008,248.5656216,0.6224,1.606683805,0.3003412969,0.001208297813,0.442539074,0.6666666667,0.7190981088,0.2660531145,1.031458865,,,,,,,,,,,,,,,128.3333333,328,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,3,88%,2.4,0.007,203.6248526,0.5446,1.836210062,0.3666666667,0.001800697027,0.6173818377,0.5555555556,0.535265034,0.3191897043,0.9869560933,,,,,,,,,,,,,,,138.3333333,367.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,4,88%,3.36,0.01,284.3428154,0.778,1.285347044,0.2619047619,0.0009210880236,0.3094855759,0.8888888889,0.8654469967,0.2163358198,0.9875895865,,,,,,,,,,,,,,,131.6666667,370,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,5,88%,3.69,0.011,312.2342002,0.8558,1.168497312,0.2384823848,0.0007637932831,0.2562179286,1,0.9795384805,0.1925412626,0.9897692403,,,,,,,,,,,,,,,155,326,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,6,88%,2.71,0.008,229.8165862,0.6224,1.606683805,0.3247232472,0.001412966977,0.4786425636,0.6666666667,0.6424039869,0.2784767997,0.9854423921,,,,,,,,,,,,,,,141.6666667,340,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,7,88%,3.18,0.009,269.3559787,0.7002,1.428163382,0.2767295597,0.001027374856,0.3630057823,0.7777777778,0.8041423876,0.2376673239,1.014830093,,,,,,,,,,,,,,,132.5,350,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,8,88%,3.47,0.01,293.8798809,0.778,1.285347044,0.2536023055,0.000862945448,0.2994420704,0.8888888889,0.9044589698,0.2119042792,1.008242984,,,,,,,,,,,,,,,135,316,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,9,88%,2.06,0.006,174.2298215,0.4668,2.142245073,0.427184466,0.002451844709,0.8418000169,0.4444444444,0.4150227888,0.3729524654,0.9796311615,,,,,,,,,,,,,,,148,332,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,10,88%,2.36,0.007,199.5809603,0.5446,1.836210062,0.3728813559,0.001868321283,0.6298911756,0.5555555556,0.5187232352,0.3226662902,0.9763220798,,,,,,,,,,,,,,,150,340,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,11,88%,2.2,0.006,187.4073653,0.4668,2.142245073,0.4,0.002134387832,0.7826088717,0.4444444444,0.4689263701,0.3592666375,1.016949025,,,,,,,,,,,,,,,127.5,325,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,12,88%,2.82,0.008,238.7589188,0.6224,1.606683805,0.3120567376,0.001306995103,0.4607157737,0.6666666667,0.6789831671,0.2724097627,1.0073899,,,,,,,,,,,,,,,148,362.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,13,88%,2.87,0.008,243.0861936,0.6224,1.606683805,0.3066202091,0.001261364146,0.4525143874,0.6666666667,0.6966841602,0.2695677939,1.018010496,,,,,,,,,,,,,,,131.6666667,374,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,14,88%,2.76,0.008,233.4116477,0.6224,1.606683805,0.3188405797,0.001366001152,0.4712703976,0.6666666667,0.6571098144,0.2760054899,0.9942658886,,,,,,,,,,,,,,,128.3333333,352,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,15,88%,2.83,0.008,239.8402792,0.6224,1.606683805,0.3109540636,0.00129650476,0.4586385589,0.6666666667,0.6834065406,0.27169397,1.010043924,,,,,,,,,,,,,,,126.6666667,345,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,16,88%,2.97,0.009,251.3468213,0.7002,1.428163382,0.2962962963,0.001178834468,0.3890153743,0.7777777778,0.7304747834,0.2477849994,0.9733920657,,,,,,,,,,,,,,,130,362,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,17,88%,2.78,0.008,235.4247215,0.6224,1.606683805,0.3165467626,0.001344577412,0.4672406505,0.6666666667,0.6653444208,0.2746407292,0.9992066525,,,,,,,,,,,,,,,140,330,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,18,88%,2.51,0.007,212.3696272,0.5446,1.836210062,0.3505976096,0.001650883953,0.5919598174,0.5555555556,0.5710360907,0.3119220463,1.009951773,,,,,,,,,,,,,,,147.5,325,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,19,88%,2.83,0.008,239.5726037,0.6224,1.606683805,0.3109540636,0.00129795335,0.4591509976,0.6666666667,0.6823115971,0.2718708038,1.009386958,,,,,,,,,,,,,,,150,336,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,20,88%,2.06,0.006,174.6663745,0.4668,2.142245073,0.427184466,0.002445716683,0.8396960613,0.4444444444,0.4168085366,0.3724823956,0.9808674484,,,,,,,,,,,,,,,148,322,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,21,88%,2.39,0.007,202.5200646,0.5446,1.836210062,0.3682008368,0.001818095593,0.620749781,0.5555555556,0.5307458281,0.3201320449,0.9840508895,,,,,,,,,,,,,,,146.6666667,332,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,22,88%,3.11,0.009,263.1888339,0.7002,1.428163382,0.2829581994,0.001075114757,0.3715118773,0.7777777778,0.7789152894,0.2410377244,1.00063985,,,,,,,,,,,,,,,141.6666667,341.4285714,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,23,88%,2.46,0.007,208.6117756,0.5446,1.836210062,0.3577235772,0.001714781326,0.6026231518,0.5555555556,0.5556643598,0.3150041904,1.000069946,,,,,,,,,,,,,,,130,376.6666667,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,24,88%,2.88,0.008,243.9331091,0.6224,1.606683805,0.3055555556,0.001252620264,0.4509432951,0.6666666667,0.7001485217,0.2690185006,1.020089113,,,,,,,,,,,,,,,144.2857143,325,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,25,88%,3.75,0.011,317.2363273,0.8558,1.168497312,0.2346666667,0.0007397219248,0.2521779289,1,1,0.1905714192,1,,,,,,,,,,,,,,,138.3333333,323.3333333,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,26,88%,2.89,0.008,244.9359036,0.6224,1.606683805,0.3044982699,0.001243175318,0.4490970837,0.6666666667,0.7042505166,0.2683709945,1.02255031,,,,,,,,,,,,,,,132,316,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,27,88%,2.4,0.007,203.488839,0.5446,1.836210062,0.3666666667,0.001801900627,0.6177945008,0.5555555556,0.5347086616,0.319305419,0.9865984253,,,,,,,,,,,,,,,136,334,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,28,88%,1.94,0.006,164.9656925,0.4668,2.142245073,0.4536082474,0.002749712626,0.8890737491,0.4444444444,0.3771272796,0.3832152958,0.953395809,,,,,,,,,,,,,,,145,345,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,29,88%,2.51,0.007,212.679667,0.5446,1.836210062,0.3505976096,0.001648477329,0.591096871,0.5555555556,0.5723043285,0.3116704466,1.010767068,,,,,,,,,,,,,,,133.3333333,370,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,30,88%,3,0.009,254.1984859,0.7002,1.428163382,0.2933333333,0.001153953896,0.3846512988,0.7777777778,0.7421396989,0.2461258953,0.9799535807,,,,,,,,,,,,,,,126,378,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,31,88%,2.84,0.008,240.4927518,0.6224,1.606683805,0.3098591549,0.001288434486,0.4573942424,0.6666666667,0.6860755213,0.2712638908,1.011645313,,,,,,,,,,,,,,,142,384,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,32,88%,3.07,0.009,259.5228688,0.7002,1.428163382,0.2866449511,0.001104507485,0.3767597755,0.7777777778,0.7639194257,0.2430868933,0.992204677,,,,,,,,,,,,,,,132,377.5,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV1,33,88%,2.07,0.006,174.8349854,0.4668,2.142245073,0.4251207729,0.00243155437,0.8388862578,0.4444444444,0.4174982505,0.3723011563,0.9813449427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,1,88%,0.92,0.007,196.0223401,0.5446,1.836210062,0.9565217391,0.004879656771,0.6413263185,0.5555555556,0.5041664728,0.3257889343,0.9669641611,,,,,,,,,,,,,,Model,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,2,88%,0.64,0.005,135.3819219,0.389,2.570694087,1.375,0.01015645206,1.300025864,0.3333333333,0.256112984,0.455145568,0.942084738,,,,,,,,,,,,,,deepseek-coder-7b-instruct-v1.5 ,291.25,446.6666667,-33.33333333,48.14814815,7.659,0.008844221106,0.005979614949,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,3,88%,0.86,0.006,182.6373923,0.4668,2.142245073,1.023255814,0.005602663295,0.8030484057,0.4444444444,0.449414492,0.3641030503,1.003440802,,,,,,,,,,,,,,Meta-Llama-3-8B-Instruct,134.8333333,141.6666667,-27.27272727,45.45454545,-22.81879195,0.01084188912,0.007468175389,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,4,88%,0.83,0.006,177.0100039,0.4668,2.142245073,1.060240964,0.005989723408,0.8285784048,0.4444444444,0.4263953019,0.3699789512,0.9875044398,,,,,,,,,,,,,,Mistral-7B-Instruct-v0.3,282,142.0833333,-30,45.83333333,-65.24822695,0.009944134078,0.00683082827,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,5,88%,0.64,0.005,135.5785482,0.389,2.570694087,1.375,0.01014172241,1.298140468,0.3333333333,0.2569172962,0.4548543164,0.9426879721,,,,,,,,,,,,,,Qwen2.5-1.5B-Instruct,130,144.6428571,-8.333333333,17.85714286,0,0.01192307692,0.01012638538,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,6,88%,0.86,0.006,183.6594766,0.4668,2.142245073,1.023255814,0.005571483884,0.7985793567,0.4444444444,0.4535953931,0.3630557996,1.006335272,,,,,,,,,,,,,,Phi-3.5-mini-instruct,135,358.75,-10,12.5,137.7777778,0.009948186528,0.008847926267,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,7,88%,1.1,0.008,233.8341903,0.6224,1.606683805,0.8,0.003421227662,0.4704188035,0.6666666667,0.6588382518,0.2757179041,0.9953029511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,8,88%,1.26,0.009,268.2338362,0.7002,1.428163382,0.6984126984,0.002603745703,0.3645243984,0.7777777778,0.7995521924,0.2382735522,1.012248108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,9,88%,0.51,0.004,109.1874482,0.3112,3.213367609,1.725490196,0.01580300872,2.014883611,0.2222222222,0.1489628226,0.5428272079,0.9400604912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,10,88%,0.45,0.003,95.90639276,0.2334,4.284490146,1.955555556,0.0203902524,3.058537861,0.1111111111,0.09463582023,0.6267446181,0.9851722382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,11,88%,0.77,0.006,164.6347199,0.4668,2.142245073,1.142857143,0.006941774757,0.8908610939,0.4444444444,0.3757734154,0.3835924084,0.9524585183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,12,88%,0.55,0.004,116.4855201,0.3112,3.213367609,1.6,0.01373561279,1.888646758,0.2222222222,0.1788160502,0.5290802419,0.9644858593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,13,88%,0.79,0.006,168.0904826,0.4668,2.142245073,1.113924051,0.006626931122,0.872545931,0.4444444444,0.3899094327,0.3796910974,0.9622449919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,14,88%,0.86,0.006,183.2346613,0.4668,2.142245073,1.023255814,0.005584400937,0.8004308009,0.4444444444,0.4518576589,0.3634903425,1.005132225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,15,88%,0.93,0.007,198.985652,0.5446,1.836210062,0.9462365591,0.004755300443,0.6317756303,0.5555555556,0.5162880887,0.3231844897,0.9747566284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,16,88%,1.21,0.009,256.7138507,0.7002,1.428163382,0.7272727273,0.002833009303,0.3808823619,0.7777777778,0.7524289584,0.244680785,0.9857412891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,17,88%,0.5,0.004,106.0914926,0.3112,3.213367609,1.76,0.0165894546,2.073681825,0.2222222222,0.1362986191,0.5488770914,0.9296988702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,18,88%,0.72,0.005,154.2637462,0.389,2.570694087,1.222222222,0.007922938813,1.140903189,0.3333333333,0.3333502875,0.428780241,1.000012716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,19,88%,0.63,0.005,133.6140046,0.389,2.570694087,1.396825397,0.01045418406,1.317227191,0.3333333333,0.2488812058,0.4577811364,0.9366609043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,20,88%,0.59,0.004,125.6451556,0.3112,3.213367609,1.491525424,0.01187093459,1.750962851,0.2222222222,0.216284122,0.5127817339,0.9951415543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,21,88%,0.6,0.004,127.6732658,0.3112,3.213367609,1.466666667,0.01148765685,1.723148528,0.2222222222,0.2245802355,0.5093078125,1.001929284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,22,88%,0.57,0.004,122.0801821,0.3112,3.213367609,1.543859649,0.01264627578,1.802094298,0.2222222222,0.2017013707,0.5190043851,0.9832102124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,23,88%,0.49,0.004,103.932873,0.3112,3.213367609,1.795918367,0.017279599,2.116750877,0.2222222222,0.1274686482,0.5531757198,0.9224743485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,24,88%,0.64,0.005,136.5814171,0.389,2.570694087,1.375,0.01006725534,1.288608683,0.3333333333,0.2610195951,0.4533746024,0.9457646963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,25,88%,1.32,0.01,281.8833425,0.778,1.285347044,0.6666666667,0.002365044564,0.3121858824,0.8888888889,0.855386366,0.2175088773,0.9822633702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,26,88%,0.52,0.004,111.8006401,0.3112,3.213367609,1.692307692,0.01513683366,1.967788375,0.2222222222,0.1596522504,0.5378235422,0.9488063867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,27,88%,0.74,0.005,158.4285763,0.389,2.570694087,1.189189189,0.007506153352,1.110910696,0.3333333333,0.3503867901,0.4233707422,1.012790093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,28,88%,0.82,0.006,174.8514123,0.4668,2.142245073,1.073170732,0.006137615461,0.8388074463,0.4444444444,0.4175654458,0.3722835086,0.9813914625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,29,88%,0.82,0.006,174.0673822,0.4668,2.142245073,1.073170732,0.00616526036,0.8425855826,0.4444444444,0.4143583208,0.3731276792,0.9791711451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,30,88%,0.84,0.006,179.2510372,0.4668,2.142245073,1.047619048,0.005844423908,0.8182193472,0.4444444444,0.4355623914,0.3676163718,0.9938508863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,31,88%,0.77,0.006,163.7827377,0.4668,2.142245073,1.142857143,0.006977885207,0.8954952682,0.4444444444,0.3722883281,0.3845665863,0.9500457656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,32,88%,0.97,0.007,206.9805427,0.5446,1.836210062,0.9072164948,0.004383100378,0.6073724809,0.5555555556,0.5489916978,0.3163611483,0.9957803771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV2,33,88%,0.46,0.003,97.05237398,0.2334,4.284490146,1.913043478,0.01971145475,3.022423062,0.1111111111,0.09932352931,0.6240720687,0.9893911764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,1,88%,0.75,0.005,160.9780634,0.389,2.570694087,1.173333333,0.00728877779,1.093316669,0.3333333333,0.3608156293,0.4201261694,1.020611722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,2,88%,0.5,0.004,106.5916418,0.3112,3.213367609,1.76,0.01651161358,2.063951697,0.2222222222,0.1383445113,0.5478906208,0.9313727819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,3,88%,0.4,0.003,86.02417504,0.2334,4.284490146,2.2,0.02557420631,3.409894174,0.1111111111,0.0542119799,0.6507771892,0.9487907819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,4,88%,0.39,0.003,83.29445766,0.2334,4.284490146,2.256410256,0.02708956058,3.521642875,0.1111111111,0.04304589727,0.6577439314,0.9387413075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,5,88%,0.5,0.004,107.0716823,0.3112,3.213367609,1.76,0.01643758614,2.054698267,0.2222222222,0.1403081474,0.5469471409,0.9329793933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,6,88%,0.41,0.003,87.99112821,0.2334,4.284490146,2.146341463,0.02439270307,3.33366942,0.1111111111,0.06225792698,0.6458479543,0.9560321343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,7,88%,0.51,0.004,108.6949705,0.3112,3.213367609,1.725490196,0.01587460936,2.024012693,0.2222222222,0.1469483113,0.543780635,0.9384122547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,8,88%,1.09,0.008,231.6686614,0.6224,1.606683805,0.8073394495,0.003484888481,0.4748160555,0.6666666667,0.6499800182,0.2771981485,0.9899880109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,9,88%,0.39,0.003,83.60141248,0.2334,4.284490146,2.256410256,0.02699009729,3.508712648,0.1111111111,0.04430151547,0.6569530915,0.9398713639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,10,88%,0.48,0.003,101.4603186,0.2334,4.284490146,1.833333333,0.01806946162,2.891113859,0.1111111111,0.1173545075,0.6140012901,1.005619057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,11,88%,0.34,0.002,72.77123857,0.1556,6.426735219,2.588235294,0.03556673413,6.046344801,0,0,0.7622856768,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,12,88%,0.76,0.005,161.4831658,0.389,2.570694087,1.157894737,0.007170374269,1.089896889,0.3333333333,0.3628817827,0.4194892505,1.022161337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,13,88%,0.39,0.003,82.37061223,0.2334,4.284490146,2.256410256,0.02739338941,3.561140623,0.1111111111,0.03926684873,0.6601356619,0.9353401639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,14,88%,0.52,0.004,110.996688,0.3112,3.213367609,1.692307692,0.01524647016,1.982041121,0.2222222222,0.1563636332,0.5393530747,0.9461156999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,15,88%,0.46,0.003,98.10195641,0.2334,4.284490146,1.913043478,0.01950056399,2.990086478,0.1111111111,0.103616913,0.6216442508,0.9932552217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,16,88%,0.37,0.003,78.53702097,0.2334,4.284490146,2.378378378,0.03028353188,3.734968932,0.1111111111,0.02358529977,0.6702490835,0.9212267698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,17,88%,0.45,0.003,95.43688313,0.2334,4.284490146,1.955555556,0.02049056394,3.07358459,0.1111111111,0.09271526122,0.627846186,0.9834437351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,18,88%,0.48,0.003,103.3255239,0.2334,4.284490146,1.833333333,0.01774327644,2.838924231,0.1111111111,0.124984248,0.6098370802,1.012485823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,19,88%,0.49,0.004,104.9839231,0.3112,3.213367609,1.795918367,0.0171066037,2.095558954,0.2222222222,0.1317680356,0.5510743027,0.9259920291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,20,88%,0.42,0.003,90.8466599,0.2334,4.284490146,2.095238095,0.02306345767,3.228884074,0.1111111111,0.07393866105,0.6388233648,0.9665447949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,21,88%,0.41,0.003,86.96659707,0.2334,4.284490146,2.146341463,0.02468006724,3.372942523,0.1111111111,0.05806701714,0.6484061009,0.9522603154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,22,88%,0.51,0.004,109.649496,0.3112,3.213367609,1.725490196,0.01573641702,2.006393171,0.2222222222,0.1508528586,0.5419357273,0.9416068843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,23,88%,0.43,0.003,92.46448269,0.2334,4.284490146,2.046511628,0.02213294844,3.172389276,0.1111111111,0.08055646811,0.6349109272,0.9725008213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,24,88%,0.49,0.004,104.354686,0.3112,3.213367609,1.795918367,0.01720975297,2.108194739,0.2222222222,0.1291941012,0.5523304455,0.9238860828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,25,88%,1.12,0.008,237.210978,0.6224,1.606683805,0.7857142857,0.003312301532,0.4637222145,0.6666666667,0.6726512167,0.2734409909,1.00359073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,26,88%,0.46,0.003,98.31330541,0.2334,4.284490146,1.913043478,0.01945864266,2.983658541,0.1111111111,0.1044814496,0.6211576567,0.9940333046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,27,88%,0.38,0.003,80.87841748,0.2334,4.284490146,2.315789474,0.02863297213,3.626843137,0.1111111111,0.03316293117,0.6640357376,0.9298466381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,28,88%,0.43,0.003,90.62598704,0.2334,4.284490146,2.046511628,0.02258195132,3.236746356,0.1111111111,0.07303598465,0.639360766,0.9657323862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,29,88%,0.42,0.003,89.62704107,0.2334,4.284490146,2.095238095,0.02337729853,3.272821794,0.1111111111,0.06894973263,0.6418048372,0.9620547594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,30,88%,0.4,0.003,86.24317179,0.2334,4.284490146,2.2,0.02550926589,3.401235451,0.1111111111,0.05510780001,0.6502246586,0.94959702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,31,88%,0.73,0.005,154.7508587,0.389,2.570694087,1.205479452,0.00778980784,1.137311945,0.3333333333,0.3353428521,0.428140426,1.001507139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,32,88%,0.48,0.003,102.3363004,0.2334,4.284490146,1.833333333,0.01791479002,2.866366404,0.1111111111,0.1209377665,0.6120385356,1.00884399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-Llama-3-8B-Instruct,APV3,33,88%,0.4,0.003,85.42215266,0.2334,4.284490146,2.2,0.02575444345,3.433925793,0.1111111111,0.05174936903,0.6523009467,0.9465744321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,APV0,1,89%,1.47,0.005,163.1222528,0.389,2.570694087,0.6054421769,0.003711585431,1.091206117,0.2857142857,0.3196841181,0.4782498206,1.026420981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,APV0,2,89%,1.46,0.005,161.1078469,0.389,2.570694087,0.6095890411,0.003783732779,1.104849971,0.2857142857,0.3093109453,0.4820388121,1.018352957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,APV0,3,89%,1.51,0.006,167.1332177,0.4668,2.142245073,0.5894039735,0.003526551943,0.8875155723,0.4285714286,0.340338561,0.4237920477,0.9382369927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,APV0,4,89%,1.46,0.005,161.2466971,0.389,2.570694087,0.6095890411,0.003780474591,1.103898581,0.2857142857,0.3100259537,0.4817757167,1.018909075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,APV0,5,89%,1.68,0.006,185.4963994,0.4668,2.142245073,0.5297619048,0.002855914759,0.7996561325,0.4285714286,0.4348996699,0.3958637913,1.004429769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
